phrase,prompt,Care
I tried to put my glasses to see more clear but cant find any change,Blurry vision,PCP
i feel pain in my stomach,Stomach ache,PCP
The arches of my feet hurt when I wear heels,Foot ache,PCP
"I have a foot ache in winter, or when it feels cold, why?",Foot ache,PCP
My back is hurting so much.,Back pain,PCP
The pain feels like it's right below the skin,Muscle pain,PCP
"I am struggling to bear weight on my knee, when i stand straight I feel and hear a loud popping noise.",Knee pain,PCP
There is a sharp pain in my bicep. I have tried to apply pain relief cream but it does not help.,Muscle pain,PCP
I have a pain internal,Internal pain,PCP
"my child has cough all night, she can't sleep",Cough,PCP
"I feel dizzy when I set in-front of my laptop for an hour or two, what possibly could be the reason?",Feeling dizzy,PCP
When I play sports  I have some burning sensation in my spine,Back pain,PCP
I have a hard muscle pain since i went to the gym,Muscle pain,PCP
my hair falling out,Hair falling out,Pharmacy
I feel joint pain every time I move,Joint pain,PCP
I feel aching on my insides.,Internal pain,PCP
I have this strange rash on my arm.,Skin issue,Pharmacy
My face break out badly every month around my cycle.,Acne,Pharmacy
I have a lot of mucus when I cough.,Cough,PCP
i'm disappointed,Emotional pain,PCP
I often get a stomach ache after I eat.  I haven't been able to pinpoint which foods might be the trigger.,Stomach ache,PCP
"I feel dizzy when I set in-front of my laptop for an hour or two, what possibly could be the reason?",Feeling dizzy,PCP
I was playing soccer and I twisted my ankle,Injury from sports,Emergencey
My son squeezed a pimple and it broke open only to scab over and now looks like it is infected.,Infected wound,PCP
I feel so sore in my stomach area.,Stomach ache,PCP
i have shoulder pain after doing any home work.,Shoulder pain,PCP
"laceration, rupture or opening in the skin",Open wound,Emergencey
I can't carry anything I have a pain in my shoulder,Shoulder pain,PCP
How do you know if you have a torn meniscus in your knee?,Knee pain,PCP
My head gets dizzy when I try to get up.,Feeling dizzy,PCP
I feel pain when parting loved ones,Emotional pain,PCP
I think my wound is infected,Infected wound,PCP
i feel dizzy after severe diarrhea,Feeling dizzy,PCP
there is a red stain in my skin,Skin issue,Pharmacy
"i can't walk, my knee hurts me",Knee pain,PCP
I feel a pain in my back,Back pain,PCP
My body feels weak and I tried to make it relax but it stills pain me,Body feels weak,PCP
I feel increased heart rate with prick,Heart hurts,Emergencey
My grandson cut his foot on a seashell in the ocean and now the foot is turning gray and is puffy.,Infected wound,PCP
I feel increased heart rate with prick,Heart hurts,Emergencey
The worst headache was during a hangover in my twenties: I sincerely thought I was going to die from brain inflammation.,Head ache,PCP
i have a problem in my middle ear made by infection,Ear ache,PCP
My television and computer seem out of focus even though I have new glasses.,Blurry vision,PCP
I have a break in the skin between my thumb and index finger and it will not close.,Open wound,Emergencey
When I brush my hair I notice big clumps of hair coming out in the brush.,Hair falling out,Pharmacy
I feel pain in the knee when walking,Knee pain,PCP
I'm not feeling good I can't take my breath,Hard to breath,Emergencey
i can't move my shoulder because of pain,Shoulder pain,PCP
I feel pain inside and I can not identify it,Internal pain,PCP
I have an indigestion,Stomach ache,PCP
I m feeling cold though the temperature is high,Feeling cold,Pharmacy
My body feels weak although I take my vitamins regularly.,Body feels weak,PCP
i feel pain in my body,Internal pain,PCP
"The pain is intense especially when I go down the stairs, it feels like something has snapped inside my knee.",Knee pain,PCP
"I feel dizzy when I set in-front of my laptop for an hour or two, what possibly could be the reason?",Feeling dizzy,PCP
I get an ear ache when it is cold,Ear ache,PCP
My joints feel swollen,Joint pain,PCP
When I stand I feel dizzy I do not know why,Feeling dizzy,PCP
I feel lightheaded,Feeling dizzy,PCP
My lower back hurts but it improves if I stretch it,Muscle pain,PCP
I got acne when I ate chili,Acne,Pharmacy
I could not exercise because of my knee pain,Knee pain,PCP
I'm not hearing well I have problem with my ear,Ear ache,PCP
A terrible fall in hair,Hair falling out,Pharmacy
my ear hurts me badly,Ear ache,PCP
My son had a root canal and the dentist accidentally cut the inside of his cheek and now it will not heal.,Infected wound,PCP
heart aches so much,Heart hurts,Emergencey
My throught is so sore.,Neck pain,PCP
The pain in my ear is unbearable.,Ear ache,PCP
My daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is now puffy and oozing.,Infected wound,PCP
Chronic bone disease at the level of the doubles of the lower Estremidades,Knee pain,PCP
My knees hurt so bad to walk that I stay sitting more than I should.,Knee pain,PCP
I got a divorce last year and I just can't stop dwelling on how to get revenge on my ex husband.,Emotional pain,PCP
My kneecap feels like it is grating bone on bone when I walk.,Knee pain,PCP
I feel suicidal.,Emotional pain,PCP
I feel pain in my joint after an injury in the last football match I played.,Joint pain,PCP
I feel dizzy whenever I stand up.,Feeling dizzy,PCP
"Annoyance starts suddenly, often after an injury or exercise.",Knee pain,PCP
I feel pain in my eyes I can see fog,Blurry vision,PCP
Can't keep focus,Head ache,PCP
I feel fluid trying to come up when I cough.,Cough,PCP
"My skin color on my back is red, I don't know why.",Skin issue,Pharmacy
"My left ear is ok, but the right one feels like it's being stabbed with a nail.",Ear ache,PCP
I'm suffering from sharp cough Accompanied by  phlegm,Cough,PCP
"When I move my shoulder, it's like lightning is being sent through my shoulder",Shoulder pain,PCP
I feel a tightness in my chest,Hard to breath,Emergencey
My chest hurts when I smoke,Internal pain,PCP
I have a foot ache although I don't walk a lot.,Foot ache,PCP
i feel pain in my foot,Foot ache,PCP
I have a feeling like my whole body is complaining,Joint pain,PCP
I had a collision while playing soccer.  My knee buckled and now it's unstable.,Injury from sports,Emergencey
My acne gets worse when it is hot,Acne,Pharmacy
I usually have a bad cough when I get flu.,Cough,PCP
"i was playing basketball yesterday, i have sprained ankle",Injury from sports,Emergencey
My chest break out with red pimples and whiteheads.,Acne,Pharmacy
itch at front and center of scalp,Hair falling out,Pharmacy
I feel pain in the lower back,Back pain,PCP
I have a dull ache in my head,Head ache,PCP
I get an ear ache when it is cold,Ear ache,PCP
I get breakouts on my chest with red patches that get more intense when i get hot.,Acne,Pharmacy
i can't ride my car at night because i have blurry vision.,Blurry vision,PCP
I feel pain in the knee,Knee pain,PCP
I can't stand with this horrible feeling in my stomach,Stomach ache,PCP
"I get tired too fast, I can barely put on my clothes in the morning.",Body feels weak,PCP
When I tried to be warm and wear more clothes I found that I was still cold,Feeling cold,Pharmacy
my ankle is hurting me,Joint pain,PCP
My knee is hurting so badly.,Joint pain,PCP
fell skull is cracked like nuts,Head ache,PCP
It is like I have a needle pushing through my heart.,Heart hurts,Emergencey
My chest acne breaks out and never clears up.,Acne,Pharmacy
my hair isn't well,Hair falling out,Pharmacy
It feels like someone stuck a knife into my shoulder,Shoulder pain,PCP
I feel a great amount of pressure of my head.,Head ache,PCP
my hand open wound got infected,Infected wound,PCP
I feel great pressure in my chest,Hard to breath,Emergencey
I'm not feeling good I can't take my breath,Hard to breath,Emergencey
i feel that it's hard to breath for me specially after running or making any effort,Hard to breath,Emergencey
I have an open wound in my arm,Open wound,Emergencey
i cant sleep because of cough,Cough,PCP
"It is hard to breath when I am in the underground metro station, why?",Hard to breath,Emergencey
I break out on my face very frequently,Acne,Pharmacy
"can't do any exercise, i feel weak",Body feels weak,PCP
My knees hurt so bad to walk that I stay sitting more than I should.,Knee pain,PCP
My shoulder muscle hurts when I try to reach up.,Muscle pain,PCP
I'm very worried that I'll go bald soon. Am I very sick?,Hair falling out,Pharmacy
i feel that is great pain in my left shoulder,Shoulder pain,PCP
I feel pain inside and I can not identify it,Internal pain,PCP
I feel a pain in my back,Back pain,PCP
Is there a cure for acne?,Acne,Pharmacy
I have a pain in my muscle,Muscle pain,PCP
There is a sharp pain in my bicep. I have tried to apply pain relief cream but it does not help.,Muscle pain,PCP
I feel sad like hurt or pain,Emotional pain,PCP
My body feels weak although I take my vitamins regularly.,Body feels weak,PCP
The worst headache was during a hangover in my twenties: I sincerely thought I was going to die from brain inflammation.,Head ache,PCP
I have found some issues in my skin and tried to use cream but it doesn't get better,Skin issue,Pharmacy
I have a red rash that is itchy on my skin,Skin issue,Pharmacy
My son had a root canal and the dentist accidentally cut the inside of his cheek and now it will not heal.,Infected wound,PCP
I feel pain in my neck after waking up,Neck pain,PCP
My neck has been sore since the accident.,Neck pain,PCP
"i feel hurt, lot of pain in my heart",Emotional pain,PCP
I got a divorce last year and I just can't stop dwelling on how to get revenge on my ex husband.,Emotional pain,PCP
"It is hard to breath when I am in the underground metro station, why?",Hard to breath,Emergencey
I have a dull ache in my head,Head ache,PCP
"I feel a pain on the left side of my chest, where my heart is",Heart hurts,Emergencey
When I wake up I am feeling cold,Feeling cold,Pharmacy
there is acne on my face,Acne,Pharmacy
I'm not good i'm feeling so cold,Feeling cold,Pharmacy
I chopped off the tip of my finger while I was cutting some cardboard and I cannot stop the bleeding.,Open wound,Emergencey
"It's hard to stand up, and I'm moving very slowly",Body feels weak,PCP
There is so much pain when I move my arm.,Shoulder pain,PCP
I read a book for along time and when I finished reading I feel head ache,Head ache,PCP
I lose a lot of my hair,Hair falling out,Pharmacy
i have injured myself during the soccer match,Injury from sports,Emergencey
My television and computer seem out of focus even though I have new glasses.,Blurry vision,PCP
When I wake up in the morning I feel a soreness in my body,Muscle pain,PCP
I feel a great amount of pressure of my head.,Head ache,PCP
I feel pain in my heart when I wake up,Heart hurts,Emergencey
I break out on my face very frequently,Acne,Pharmacy
I have a back pain since I turned 70 years old.,Back pain,PCP
I feel like something is squeezing my lungs.,Hard to breath,Emergencey
My foot had been aching since last Tuesday.,Foot ache,PCP
My back hurts a lot when I bend,Back pain,PCP
I feel pain in the knee,Knee pain,PCP
Everything looks like beeing in a smoky area.,Blurry vision,PCP
"Every time I make an effort, I felt dizzy.",Feeling dizzy,PCP
Have severe cold and cough,Cough,PCP
I feel like something is squeezing my lungs.,Hard to breath,Emergencey
I feel pain in the knee when walking,Knee pain,PCP
Chronic bowel Pain,Internal pain,PCP
When I played football I dislocated my shoulder,Injury from sports,Emergencey
I often get a sharp pain in my chest and I can't tell what I'm doing that might be triggering it.,Heart hurts,Emergencey
I feel pain in my right shoulder after the tennis match.,Injury from sports,Emergencey
There is this pain that radiates from my chest up to my left arm.,Heart hurts,Emergencey
I have pimples in patches along with a lot of redness on my face.,Acne,Pharmacy
"i can't move my leg, there is pain in the joint",Joint pain,PCP
I feel a tightness in my chest,Hard to breath,Emergencey
I have a mental suffering,Emotional pain,PCP
I feel a sharp pain in my ankle joint when I stand.,Joint pain,PCP
My head hurts in the back and the pain lasts all day.,Head ache,PCP
What helps cuts heal faster?,Open wound,Emergencey
My knee doesn't want to bend well.,Knee pain,PCP
My knees seem to grind as I go up or down stairs.,Knee pain,PCP
When i'm awake in the morning I feel strange and have vertigo,Feeling dizzy,PCP
My sore isn't healing well and it's been like this for two weeks.,Open wound,Emergencey
After walking I have some pain under my foot,Foot ache,PCP
I hit myself and the would doesn't want to heal,Open wound,Emergencey
I have some pain when i'm walking around my knees,Joint pain,PCP
When I stand up too quick my vision is blurry.,Blurry vision,PCP
Sometimes I feel like a claw on my chest that leaves me breathless.,Hard to breath,Emergencey
I suffered a deep wound in my hand and I can not stop the bleeding,Infected wound,PCP
The severe pain in the stomach I feel,Stomach ache,PCP
"There must be something wrong with my blood circulation, I have to wear socks even on the hottest days, my toes are frozen!",Feeling cold,Pharmacy
I can`t stop coughing.,Cough,PCP
There is an injured person,Infected wound,PCP
It hurts when I raise my arm up,Shoulder pain,PCP
"I cut my finger opening a can, it won't stop bleeding and the wound is gaping and open",Open wound,Emergencey
When I eat too much sugar my body gets weak and dizzy.,Body feels weak,PCP
When I stand up too quick my vision is blurry.,Blurry vision,PCP
My right shoulder clicks when I move my arm.,Shoulder pain,PCP
I have a rash and it itches very bad.,Skin issue,Pharmacy
I have constant stomach pain and bloating.,Internal pain,PCP
My foot hurts and I can't turn it.  Maybe it's broken.,Foot ache,PCP
I knocked my foot and it really hurts.,Foot ache,PCP
My son has a lot of acne.,Acne,Pharmacy
I have a pain that radiates up from my right hip to my rib cage.  It is at it's worst when I urinate.,Internal pain,PCP
I feel a tightness in my chest,Hard to breath,Emergencey
My stomach feels starts hurting but then it feels better after I eat something mild.,Stomach ache,PCP
Chronic bone disease at the level of the doubles of the lower Estremidades,Knee pain,PCP
My neck feels stiff,Neck pain,PCP
I feel dizzy after doing a muscular effort.,Feeling dizzy,PCP
I have pimples in patches along with a lot of redness on my face.,Acne,Pharmacy
I feel lightheaded when I stand up,Feeling dizzy,PCP
I feel a burning sensation in my shoulder muscle.,Muscle pain,PCP
I feel a lot of pain in the joints.,Joint pain,PCP
The acne was causing me to feel embarrassed.,Acne,Pharmacy
I have a mental suffering,Emotional pain,PCP
I got a divorce last year and I just can't stop dwelling on how to get revenge on my ex husband.,Emotional pain,PCP
Whenever I stand up I feel dizzy.,Feeling dizzy,PCP
I have a split on my thumb that will not heal.,Open wound,Emergencey
i was playing football and injuried with joint pain.,Joint pain,PCP
I can't see the sign I have a blurry vision,Blurry vision,PCP
The pain in my ear is unbearable.,Ear ache,PCP
When I stand I feel dizzy I do not know why,Feeling dizzy,PCP
I have a red rash that is itchy on my skin,Skin issue,Pharmacy
"My heart hurts while I'm sad, why?",Heart hurts,Emergencey
I have a headache almost every day,Head ache,PCP
There is a constant tickle in my throat,Cough,PCP
My body aches on the inside between my hips and shoulders.,Internal pain,PCP
My throught is so sore.,Neck pain,PCP
There are lots of hairs on my pillow in the morning.,Hair falling out,Pharmacy
I have a scab on the back of my hand that just won't go away.,Skin issue,Pharmacy
I have a very rash sensation close to my arms,Skin issue,Pharmacy
When i'm doing sport I have pain under my skin,Muscle pain,PCP
I hit my head at the basketball game.  Could I have a concussion?,Injury from sports,Emergencey
"My husband left me for another woman, my heart hurts so badly to the point I can't eat or sleep.",Heart hurts,Emergencey
my hair isn't well,Hair falling out,Pharmacy
"i was diagnosed with pneumonia, i can't breath easily.",Hard to breath,Emergencey
my neck hurts me and i can't look down or up,Neck pain,PCP
I don't do anything at home and still I feel exhausted.,Body feels weak,PCP
I have a sharp pain and clicking sound in my ankle joint when I try to stand on it and walk.,Joint pain,PCP
I feel lightheaded,Feeling dizzy,PCP
I wake up at night feeling cold,Feeling cold,Pharmacy
When I go to sleep I am feeling cold,Feeling cold,Pharmacy
i can't move my shoulder because of pain,Shoulder pain,PCP
my back hurts me a lot,Back pain,PCP
Feels like there are pins and needles sticking in my joints,Joint pain,PCP
I have internal pain whenever I come down with a cold.,Internal pain,PCP
I get breakouts on my chest with red patches that get more intense when i get hot.,Acne,Pharmacy
"I cough a lot when I smell perfume, what is wrong with my lungs?",Cough,PCP
i can't ride my car at night because i have blurry vision.,Blurry vision,PCP
I have eruptions on my face that come and go .,Acne,Pharmacy
i have a hard pain in my stomach,Stomach ache,PCP
There is a constant tickle in my throat,Cough,PCP
My throught is so sore.,Neck pain,PCP
"Every time I make an effort, I felt dizzy.",Feeling dizzy,PCP
i have a very bad cough,Cough,PCP
"I've tried reading books, but nothing can cheer me up.",Emotional pain,PCP
I feel a great pain in my shoulder joint and it does not go away,Joint pain,PCP
I have a rash on my skin,Skin issue,Pharmacy
When I play football I have joint pain.,Joint pain,PCP
Severe pain in the ear,Ear ache,PCP
What helps cuts heal faster?,Open wound,Emergencey
Chronic disease of hair follicles and sebaceous glands,Acne,Pharmacy
When I brush my hair I notice big clumps of hair coming out in the brush.,Hair falling out,Pharmacy
i feel that it's hard to breath for me specially after running or making any effort,Hard to breath,Emergencey
My shoulder muscle hurts when I try to reach up.,Muscle pain,PCP
When I carry heavy things i feel like breaking my back,Back pain,PCP
I have dark spots on my skin,Skin issue,Pharmacy
I feel abdominal pain,Stomach ache,PCP
"i walked a long for 3 km, i feel pain in my foot like foot ache",Foot ache,PCP
I feel fluid trying to come up when I cough.,Cough,PCP
"There are times when I feel crushed under a huge weight and no air passing to my lungs, it actually scares the hell out of me when it happens.",Hard to breath,Emergencey
Need to scratch my skin every minute,Skin issue,Pharmacy
"My daughter was bit by her cat and now her hand is sore, red and swollen and the wound is oozing liquid.",Infected wound,PCP
It hurts when I bent my arm,Joint pain,PCP
I have pain in my stomach,Stomach ache,PCP
Stomach pain after drinking milk,Stomach ache,PCP
i feel pain in my knee,Knee pain,PCP
The wound is still open,Open wound,Emergencey
There is an injured person,Infected wound,PCP
When I eat sugar I notice my vision blurs.,Blurry vision,PCP
I have pain in my colon and my stomach like something cutting it,Stomach ache,PCP
I feel dizzy whenever I stand up.,Feeling dizzy,PCP
My foot hurts and I can't turn it.  Maybe it's broken.,Foot ache,PCP
My ear hurts and it's worse when I swallow.  My ear is very painful and Tylenol hasn't helped.,Ear ache,PCP
Even though I'm an adult my face keeps breaking out in pimples.,Acne,Pharmacy
"My body feels weak after my first day in the gym, why?",Body feels weak,PCP
When I play football I have joint pain.,Joint pain,PCP
It's hard to see things,Blurry vision,PCP
i have a problem in seeing objects it is too difficult to see,Blurry vision,PCP
My joints feel swollen,Joint pain,PCP
I feel abdominal pain,Stomach ache,PCP
My cough is very heavy and I have mucus.,Cough,PCP
I feel strong pain in my knee after it was hit during the football match.,Injury from sports,Emergencey
When I stand up too quickly I start to feel dizzy and light-headed,Feeling dizzy,PCP
I have a rash on my skin,Skin issue,Pharmacy
Oh my heart hurts me I tried to be calm and I can't,Heart hurts,Emergencey
standing less than five minutes and my back start to ache,Back pain,PCP
It hurts when I raise my arm up,Shoulder pain,PCP
My daughter had her ears pierced and one of her ear lobes is bright red and burning hot.,Infected wound,PCP
Is pimples a skin disease?,Acne,Pharmacy
I fell off my bike and since then I had hard  knee pain,Knee pain,PCP
When I wake up I am feeling cold,Feeling cold,Pharmacy
I'm having a hard time reading because the letters are all fuzzy,Blurry vision,PCP
The nerves were so damaged during the operation on my ankle that I cannot stand being touched on the scar.,Foot ache,PCP
My son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected.,Infected wound,PCP
My son has a lot of acne.,Acne,Pharmacy
"I never had any acne problem until my last pregnancy, when all of a sudden my back got covered in zits.",Acne,Pharmacy
My cough is very heavy and I have mucus.,Cough,PCP
I feel abdominal pain,Stomach ache,PCP
My head is so heavy can't think normally,Head ache,PCP
I feel hurts in my heart,Heart hurts,Emergencey
"i can't walk, my knee hurts me",Knee pain,PCP
"I cough a lot when I smell perfume, what is wrong with my lungs?",Cough,PCP
I feel a sharp pain in the stomach after eating,Stomach ache,PCP
Since I went into the forest  I have pain on my ear,Ear ache,PCP
My knee doesn't want to bend well.,Knee pain,PCP
"I am worried for my driving, because I can barely focus when I am at the wheel, my eyes feel teary.",Blurry vision,PCP
Every time I take a deep breath I start coughing,Cough,PCP
i feel pain in my back,Back pain,PCP
"Every time I make an effort, I felt dizzy.",Feeling dizzy,PCP
I feel a tightness in my chest,Hard to breath,Emergencey
I feel a sharp pain in my ankle joint when I stand.,Joint pain,PCP
My stomach feels starts hurting but then it feels better after I eat something mild.,Stomach ache,PCP
i have a pain in my trapes,Muscle pain,PCP
The pain in my ear is unbearable.,Ear ache,PCP
I fell a stiffness in my elbows and shoulders,Joint pain,PCP
When I play sports  I have some burning sensation in my spine,Back pain,PCP
"My hair is coming out in chunks, especially when I wash it",Hair falling out,Pharmacy
When I stand up too quick my vision is blurry.,Blurry vision,PCP
I have a very rash sensation close to my arms,Skin issue,Pharmacy
It hurts when I raise my arm up,Shoulder pain,PCP
My ear is ringing.,Ear ache,PCP
I have a pain that radiates up from my right hip to my rib cage.  It is at it's worst when I urinate.,Internal pain,PCP
When I play football I have joint pain.,Joint pain,PCP
My foot hurts and I can't turn it.  Maybe it's broken.,Foot ache,PCP
When I eat too much sugar my body gets weak and dizzy.,Body feels weak,PCP
I can't turn my neck to the left without feeling a stabbing pain,Neck pain,PCP
My heart is beating fast and it scares me.,Heart hurts,Emergencey
My wound opened up again,Open wound,Emergencey
i hit the ground when trying to shoot a basketball,Injury from sports,Emergencey
My son has a lot of acne.,Acne,Pharmacy
I have a foot ache after running 500m with my running shoes.,Foot ache,PCP
my shoulder is hurting me,Shoulder pain,PCP
Every morning when I wake up my neck feels like I slept on in wrong.,Muscle pain,PCP
"It's hard to stand up, and I'm moving very slowly",Body feels weak,PCP
I feel pain in my knee when I climb the stairs.,Joint pain,PCP
"i feel hurt, lot of pain in my heart",Emotional pain,PCP
I feel discomfort throughout the body in general,Body feels weak,PCP
I can't sleep I have a hard cough,Cough,PCP
After a breakup  I feel something strange in me.,Emotional pain,PCP
i have a strong shoulder pain,Shoulder pain,PCP
I can't stand with this horrible feeling in my shoulder,Shoulder pain,PCP
My son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected.,Infected wound,PCP
I'm in need for a treatment for my hair fall,Hair falling out,Pharmacy
I have a lot of mucus when I cough.,Cough,PCP
I feel pain in my ears with tinnitus,Ear ache,PCP
my back hurts me a lot,Back pain,PCP
